num_lectures,price,days_since_published,content_duration
19,200,1759,1.5
13,20,2756,2.0
114,110,2006,6.0
11,50,1731,1.0
40,200,2343,5.5
65,200,1902,4.5
9,20,2193,1.5
27,175,1883,2.5
26,125,2524,1.5
13,0,1659,0.5166666666666666
34,110,1944,5.5
46,20,2839,5.0
12,200,1878,1.0
53,50,2846,2.5
35,200,1922,1.5
19,50,2850,2.0
11,0,1712,1.5
24,0,2826,3.5
11,20,2056,1.0
8,0,2128,0.7333333333333333
15,0,2137,1.0
10,200,1695,1.0
29,20,2629,3.0
19,0,1800,5.0
24,45,2388,5.5
52,20,2011,4.0
10,25,3536,2.0
48,60,2171,3.0
16,50,2544,2.5
16,25,2456,1.5
13,0,2562,1.0
9,195,1726,0.5
39,170,2128,6.5
17,50,2014,2.0
34,20,1787,1.0
34,30,1671,4.0
20,95,1661,2.0
145,0,1958,8.5
131,50,2628,8.0
18,45,2347,1.0
16,40,2908,4.0
395,180,2480,33.0
10,45,2283,1.5
44,200,2555,4.0
15,20,1851,1.5
70,40,2035,5.0
25,95,2123,1.5
7,35,1930,0.55
17,20,2252,2.0
14,40,2116,1.5
12,20,2690,3.0
13,25,2522,1.0
9,20,1759,1.0
19,0,2462,3.0
12,200,1758,0.6
5,0,2502,1.0
70,50,1668,10.5
90,55,2732,2.5
19,85,1814,2.5
44,50,2656,5.5
70,95,2301,13.5
239,95,2022,25.5
11,20,2062,1.0
32,55,2142,6.0
61,95,1962,2.5
23,70,1783,2.5
12,35,2156,1.0
15,25,2976,1.5
106,50,2460,6.5
82,150,2020,8.0
82,50,1990,4.0
19,20,1884,2.5
59,20,2849,8.0
13,20,2062,1.0
11,25,1957,1.5
17,20,2792,1.5
103,175,2339,13.0
27,0,1963,2.0
10,0,2502,0.5333333333333333
20,0,2548,1.5
16,200,2419,2.5
58,55,2500,4.5
32,40,1934,5.0
16,20,2911,1.0
12,20,3023,2.0
11,20,2625,0.6166666666666667
77,75,2082,6.0
32,95,1686,1.5
27,50,2508,5.0
46,30,2150,9.0
9,20,2825,0.6166666666666667
31,20,2134,1.5
30,200,1917,3.0
16,50,2166,1.0
8,35,2340,0.6166666666666667
17,50,3091,8.0
113,85,1717,18.5
30,70,2257,1.0
63,75,2403,3.5
13,20,2342,0.7
25,50,2052,2.5
33,20,2864,70.0
60,50,1965,7.0
22,70,2266,5.0
33,75,2914,4.5
38,30,2878,12.0
27,30,2063,2.0
6,60,3234,1.0
93,170,1898,4.5
64,20,2585,7.0
36,120,2284,4.0
14,95,2315,1.0
34,20,2427,6.5
9,25,2245,1.0
36,60,2209,2.0
16,20,2214,2.0
62,50,1892,1.5
15,50,2867,2.5
14,20,2413,2.0
27,40,2370,3.5
71,120,1976,14.0
11,200,2322,2.0
202,100,1745,16.0
78,100,1880,6.5
8,45,2256,1.0
8,50,1660,1.5
23,30,2430,3.0
16,30,2280,1.5
25,20,2091,4.0
8,25,1860,1.5
18,0,1730,1.0
50,195,2053,6.0
13,20,2735,1.5
55,175,2663,7.0
11,0,2455,0.7333333333333333
23,20,1989,1.5
94,200,1690,17.5
6,20,2965,2.0
22,20,2960,1.5
26,20,1942,3.0
48,50,2298,3.0
119,140,2128,12.0
23,20,2110,1.0
46,190,1690,5.0
22,0,2186,2.0
46,30,3103,11.5
321,50,1838,3.5
17,150,2111,1.5
53,200,1726,6.5
34,95,2095,3.0
69,0,1732,9.0
26,200,1873,2.0
23,20,3525,3.0
11,25,1690,0.65
61,50,2101,8.0
62,150,2077,12.5
40,125,2963,12.5
35,0,3094,2.5
21,20,2182,1.0
42,50,1897,1.0
30,40,1715,2.0
22,20,2503,2.5
44,30,2326,10.5
14,0,2817,1.5
23,40,2130,2.5
19,20,3095,1.0
15,100,2143,2.0
18,195,1880,1.0
24,20,2056,2.0
16,20,2264,1.5
18,0,2150,2.0
5,30,2085,1.0
48,175,1724,7.0
63,100,2216,11.0
12,25,2483,0.6666666666666666
23,35,2154,3.0
110,25,2248,7.5
24,25,2052,2.0
115,65,1802,9.5
13,20,1958,1.5
15,30,1800,2.0
20,20,2577,1.0
37,95,2221,3.0
8,35,1927,1.0
13,20,2171,0.5333333333333333
178,195,1849,13.0
39,80,2264,3.0
68,150,2339,5.5
37,40,2349,3.5
14,30,1793,2.5
30,70,2157,4.0
35,100,2134,3.5
122,0,2153,21.0
11,20,2362,1.0
87,65,1654,5.0
32,20,3356,5.0
30,0,2277,1.5
129,0,2584,20.5
54,200,1887,4.0
17,0,2604,1.5
30,20,1779,2.0
14,40,2084,1.0
112,20,1894,13.5
9,25,2108,2.0
41,40,2095,6.0
17,20,2309,1.0
12,20,2910,1.5
56,195,2084,7.0
33,40,1977,2.5
17,20,2350,1.5
125,200,1800,14.0
51,0,1982,2.0
18,20,1997,1.0
13,180,2006,3.0
7,35,2082,0.6166666666666667
9,0,1671,1.0
11,25,2140,0.6833333333333333
8,100,1846,1.0
21,35,2839,2.5
19,200,1681,1.0
44,150,2120,7.5
30,20,2144,9.5
12,55,1831,1.0
18,20,1944,0.7166666666666667
36,20,2251,4.0
11,65,2262,1.0
60,95,2276,3.5
27,50,2370,3.5
13,0,2201,3.0
329,190,1887,18.0
34,185,1878,8.0
10,30,2074,2.0
12,25,2160,1.5
8,20,2097,1.0
172,200,1686,11.0
6,0,3071,1.0
16,20,2560,1.0
41,20,2160,4.0
55,40,2337,4.5
16,35,2441,1.0
23,20,2008,2.5
18,200,2322,2.0
32,20,2167,6.0
29,200,2130,3.0
17,20,2074,1.5
33,200,2844,5.5
25,200,2622,2.0
309,50,2627,38.0
27,20,2314,2.5
39,20,2047,3.0
17,50,2803,3.0
42,50,2101,6.5
22,200,2248,2.0
27,190,2257,2.5
35,20,2538,2.5
18,30,2285,1.5
20,85,1824,1.0
40,25,2782,3.0
16,60,3231,2.0
7,25,2598,1.5
9,20,2916,2.5
29,20,1738,7.0
27,50,2860,4.5
24,0,1692,2.5
86,35,2645,14.0
251,195,3197,45.0
29,75,2365,3.0
50,95,2097,4.0
6,60,1690,0.7166666666666667
35,95,1655,4.0
32,185,2515,3.0
6,20,1773,1.0
27,20,2214,1.0
46,20,1839,9.5
20,20,2148,2.0
29,45,2151,2.5
14,20,3006,1.0
21,50,2545,5.5
21,200,2497,2.0
11,35,1780,1.0
25,200,2154,3.0
40,40,2635,3.5
9,60,3228,1.0
11,0,2288,1.0
25,100,1762,6.5
11,40,1897,1.0
65,95,2249,2.5
21,20,2293,2.0
69,175,1681,9.5
24,40,1933,1.5
12,30,2176,1.0
13,95,2357,1.5
71,100,2621,3.5
95,75,1914,8.5
152,200,1952,5.5
49,40,2498,4.5
19,50,2263,2.0
11,20,2274,0.6333333333333333
138,190,2063,7.5
12,80,1762,0.7333333333333333
14,20,2299,3.0
29,95,2376,2.5
61,200,1752,9.5
92,105,1690,4.0
28,100,2310,2.5
16,75,2419,2.0
16,30,2096,3.0
14,30,2258,1.5
99,80,2266,2.0
7,0,1800,1.0
15,60,1947,1.5
12,0,2355,1.0
11,50,1650,2.0
49,200,2398,4.5
100,125,2233,20.5
16,95,2064,1.0
61,75,2513,6.0
16,20,2376,1.5
36,200,2302,2.5
12,40,2360,1.0
25,50,2361,2.0
12,60,1852,1.0
42,95,2397,5.0
16,75,2182,1.5
26,20,2340,3.0
30,20,1702,2.5
8,0,2369,1.0
20,0,2462,3.0
21,0,1686,3.0
87,40,1908,10.0
13,25,2619,1.5
60,20,1962,6.5
28,50,1929,3.0
56,200,2118,11.0
161,145,1683,14.0
98,50,2181,0.5166666666666666
24,95,2593,1.5
76,150,3221,13.0
224,200,2791,28.5
17,40,2133,1.5
6,50,1712,0.5333333333333333
18,50,2558,2.0
18,20,2193,1.0
12,25,2007,1.0
10,60,3233,2.0
31,20,1878,4.0
32,25,1672,3.5
29,200,2409,2.5
45,0,3250,10.5
91,200,2543,10.0
68,20,2335,6.5
24,30,3214,4.0
25,50,2025,1.5
11,40,2104,1.0
25,105,1663,1.5
26,60,1901,0.6333333333333333
69,100,2539,10.0
37,50,2225,1.5
66,20,2560,5.5
35,60,1985,4.0
45,75,2395,4.5
53,45,2186,7.0
10,25,1871,1.0
9,40,2409,2.0
60,50,2110,13.5
29,50,1720,3.5
34,35,2419,1.0
19,25,2115,1.0
18,30,1759,2.5
34,20,1858,1.5
96,195,1943,12.5
9,100,2557,1.0
16,20,2937,3.0
16,100,1647,1.0
36,100,1814,3.0
21,200,2458,2.0
35,45,1990,1.5
83,85,1712,5.0
8,20,2053,1.0
91,60,2055,16.5
30,20,1719,2.5
25,65,2389,1.0
14,40,1695,1.0
28,95,2325,5.0
13,35,2154,1.5
9,0,3006,2.0
22,195,2342,2.0
12,25,2713,3.5
9,35,1946,0.5666666666666667
29,200,2326,1.5
